Date,Volume,tweet_vol,count,sent_neg,sent_neu,sent_pos,sent_compound,count_neg,count_neu,count_pos,Close
2018-03-08 00:00:00,8996.521877210005,21746,13317,0.10129087542711994,0.7778678511201382,0.11283807571103074,0.012137091462401184,2562,5546,5209,9949.71
2018-03-08 12:00:00,13525.905592699995,26468,16603,0.08307141768110572,0.8012315307035757,0.11566908304390025,0.08642244975890448,2979,6629,6995,9285.32
2018-03-09 00:00:00,17657.503245810003,22013,13591,0.10512177716277052,0.7893815171817493,0.10549694612137496,0.032523411988866366,2534,5269,5788,8958.56
2018-03-09 12:00:00,11355.32735565001,25591,16426,0.16021274195724447,0.774162838891172,0.06563413113465852,-0.10709531683182773,3328,6443,6655,9230.0
2018-03-10 00:00:00,5629.625302119997,16278,9984,0.11456170897739318,0.7953378596250175,0.09007805984134418,-0.011859280704187718,1955,3870,4159,9361.8
2018-03-10 12:00:00,7254.411497970011,19813,11963,0.08233063643150056,0.8145030462314956,0.103123061884026,0.04318827125652476,2387,4450,5126,8791.47
2018-03-11 00:00:00,6925.792425460001,15881,9131,0.06359509329054035,0.8570429192719565,0.07928644484755126,0.03745950433912097,1644,3640,3847,9051.17
2018-03-11 12:00:00,9481.74995011,20428,12092,0.04678419982046495,0.8304837828051713,0.12274918146421306,0.1282577585377145,1953,5115,5024,9535.04
2018-03-12 00:00:00,6343.857571410006,19227,11504,0.06350387269677546,0.8599227114895319,0.07653764468049823,0.037971222356210116,2021,4878,4605,9828.93
2018-03-12 12:00:00,12407.163008179989,27516,16892,0.09175169493797712,0.8234357317481946,0.08481608846342116,0.02245831549173047,3439,7035,6418,9120.75
2018-03-13 00:00:00,8220.895705880002,20519,12083,0.049347507477967865,0.8500966420355476,0.10057196753335294,0.0891848368911554,2077,5285,4721,9066.26
2018-03-13 12:00:00,7746.2271314499985,24681,15227,0.07299223750754273,0.8412559271539904,0.08574746249755502,0.05750428487246611,2432,6375,6420,9142.32
2018-03-14 00:00:00,7753.889061509997,21427,12657,0.056058861164620236,0.8894138412614669,0.05452860067525149,0.0072060606359550345,2179,5647,4831,8710.57
2018-03-14 12:00:00,13434.025911290008,28372,17624,0.09562376130277456,0.8221968126116801,0.08211331707101198,-0.014296978133091212,3811,6703,7110,8196.69
2018-03-15 00:00:00,10516.557149590017,21976,13402,0.12470601983418135,0.7814084367887021,0.09389341847106553,-0.027484271234637283,2786,5216,5400,8269.8
2018-03-15 12:00:00,7867.98887865,27019,16857,0.06526421884873196,0.8149799097024938,0.1197511710185939,0.09440204374776194,2925,7171,6761,8265.05
2018-03-16 00:00:00,7392.937664269994,20392,12444,0.1163929402211616,0.7565175284883333,0.1270782398252146,0.044559635867888414,2298,4952,5194,8202.58
2018-03-16 12:00:00,9105.68667103999,26453,16476,0.12518127267635068,0.794484594002351,0.0802632345519401,-0.029712566732637263,3500,6588,6388,8258.54
2018-03-17 00:00:00,5290.347458879998,17366,10366,0.14094834167116108,0.7764639061082121,0.08207444399110317,-0.06301791801784065,1695,4498,4173,8211.02
2018-03-17 12:00:00,6758.3214325200015,20470,12521,0.08114770312046697,0.8319040491461597,0.08694773987328352,0.06349982450663601,2152,5421,4948,7860.83
2018-03-18 00:00:00,6168.303248999992,16331,9804,0.07523552377020314,0.8179309051243815,0.10684502416302986,0.07495015237800966,1878,4023,3903,7782.24
2018-03-18 12:00:00,13379.057898110004,21482,13620,0.097699449530883,0.8131058843836043,0.0891904208206084,0.01681850254967723,2611,5608,5401,8188.24
2018-03-19 00:00:00,9141.538180890004,18950,12020,0.10511970832813712,0.8020072726050356,0.09280719781182126,-0.0006033948467425624,2461,5098,4461,8353.0
2018-03-19 12:00:00,10248.055749430014,25134,15768,0.10891048261674448,0.8049487555069506,0.08613683281743706,0.00496970868015407,3190,6218,6360,8596.93
2018-03-20 00:00:00,5544.8594712999975,17778,11128,0.09832895515039118,0.8051654469528505,0.09650381377018047,-0.0009976853912312248,1888,4675,4565,8520.0
2018-03-20 12:00:00,7909.962789099989,24046,15968,0.10613533534766108,0.7967130199311476,0.09711659869133336,0.0021341039087490717,3340,6421,6207,8904.02
2018-03-21 00:00:00,5445.503431370002,19764,11969,0.07413967415141309,0.7835932221500292,0.14226732023808822,0.12234799305639606,2191,5115,4663,9074.52
2018-03-21 12:00:00,6655.4917708399935,25993,16718,0.05682648842182809,0.8626013178888969,0.08056993114312466,0.05006222107832454,3000,7499,6219,8893.79
2018-03-22 00:00:00,5498.114179669995,18512,11379,0.05721609786517148,0.8211486404586997,0.1216685218409748,0.13152934815544542,1688,5060,4631,8667.94
2018-03-22 12:00:00,7089.519742620008,23100,14703,0.0643435680726909,0.8304457695197878,0.10519790139365044,0.07393721672732477,2674,6173,5856,8704.67
2018-03-23 00:00:00,6817.553638230003,17236,10214,0.0733082909504589,0.8068805598737334,0.119813916486594,0.07986023138337962,1838,4379,3997,8516.03
2018-03-23 12:00:00,6932.231222739998,20240,12466,0.08167584912633417,0.8094084277803364,0.10884174291656527,0.06275498479010512,2090,5312,5064,8920.79
2018-03-24 00:00:00,4168.634213140003,14976,8854,0.05994172331621859,0.8057450689302503,0.13383125956068914,0.11555674777959035,1094,3964,3796,8734.13
2018-03-24 12:00:00,5563.348155270005,17643,10671,0.05206142232641391,0.8568806050100751,0.09107348838284007,0.09304591377374707,1377,4869,4425,8547.0
2018-03-25 00:00:00,4252.21781066,13311,7628,0.04528352963269488,0.8500776019992508,0.10463686683029597,0.11491458892445755,1129,3266,3233,8440.0
2018-03-25 12:00:00,4903.694337120005,16098,9621,0.044859141398102716,0.8489037622633228,0.10613019665700177,0.1069800351435444,1284,3992,4345,8453.9
2018-03-26 00:00:00,9526.36712666,15227,9250,0.09462438761428538,0.7937616801807765,0.11158768130843937,0.05983383608197808,1403,3933,3914,8097.25
2018-03-26 12:00:00,8167.048212639997,21818,13857,0.059501648351442324,0.8500119195205119,0.09049818625812428,0.06163413806233201,2272,5740,5845,8149.66
2018-03-27 00:00:00,7243.0192055399975,16989,10058,0.043301422665203,0.8269984251104857,0.12970461852504192,0.12002105069301368,1755,4194,4109,7934.23
2018-03-27 12:00:00,5142.231078680002,20866,13204,0.03394810702527303,0.8396046413017116,0.1263236938325483,0.14849151891967047,2007,5376,5821,7791.7
2018-03-28 00:00:00,4650.285639110001,16752,10175,0.04780240439458471,0.8685314218357074,0.08367864771149726,0.058592732861506014,1648,4343,4184,8042.92
2018-03-28 12:00:00,3773.8421486400025,20667,12829,0.07240885527540725,0.8174529664711752,0.11013557398277517,0.053985471602143474,2319,5204,5306,7932.41
2018-03-29 00:00:00,8355.253987869999,17510,10658,0.08728289246541014,0.7922830929215107,0.12043289819389598,0.0470180357755967,1824,4601,4233,7474.89
2018-03-29 12:00:00,13782.860144409988,22488,14115,0.08822666883486006,0.8324602602027662,0.07912244917350733,0.009291547570713852,3211,5484,5420,7088.38
2018-03-30 00:00:00,18456.20429638002,18241,10960,0.0706964351913468,0.8741891389555129,0.05509878838293074,-0.0005042332198832019,2344,4468,4148,7022.98
2018-03-30 12:00:00,10605.310545419996,20979,13247,0.06452200450673286,0.8145980778997828,0.12089813681780645,0.11334787330409392,2705,5202,5340,6850.0
2018-03-31 00:00:00,6207.895861389997,14245,8542,0.08061332881107452,0.8396217634788049,0.07977030927592756,0.01931266721520973,1508,3686,3348,7087.8
2018-03-31 12:00:00,5371.70119579,16876,10163,0.0731110147373352,0.8224287300360991,0.10446035333443283,0.07372038356605798,1952,4048,4163,6928.62
2018-04-01 00:00:00,5240.499521699999,13540,7704,0.07512138364860305,0.8302331811118083,0.09465051468779333,0.04724190783191539,1369,3104,3231,6692.77
2018-04-01 12:00:00,12805.141335159995,17330,10310,0.06384737718099782,0.7833878221242802,0.15276033541871215,0.15473461845337574,1921,4074,4315,6813.52
2018-04-02 00:00:00,6038.302515200003,15868,9438,0.07782293729133688,0.8056115088019941,0.1165415242379589,0.07531087253115286,1552,4106,3780,7039.72
2018-04-02 12:00:00,7585.857840460013,20633,12675,0.04623525958598269,0.8303603564838092,0.12330485129907652,0.12008254063323212,2128,5320,5227,7052.76
2018-04-03 00:00:00,8374.680872190002,30451,13211,0.08088096040795469,0.7770246563806893,0.13885868415596742,0.10097292940450607,2405,5787,5019,7298.1
2018-04-03 12:00:00,7714.8607568399975,19974,16469,0.093087921625065,0.8159923106197134,0.09071945347293113,-0.00011584357454098809,3281,6730,6458,7416.27
2018-04-04 00:00:00,7142.893211630004,15701,9752,0.06818702422971111,0.8229574233643338,0.10885144054009824,0.05808654714072343,1478,4319,3955,7076.08
2018-04-04 12:00:00,8636.309254980013,20583,13082,0.08737364488711091,0.8314144536413489,0.08102003178811891,0.015430026797268275,2626,5559,4897,6799.95
2018-04-05 00:00:00,5268.576827349992,16686,10234,0.11638429138270097,0.7644726332267197,0.11913977275566524,0.021866181785905728,1825,4672,3737,6798.01
2018-04-05 12:00:00,6625.959150719994,21551,13529,0.07848655485470116,0.8270495506487617,0.09440579889517944,0.0355170922994326,2803,5645,5081,6771.69
2018-04-06 00:00:00,5825.067244380002,18075,10744,0.06574131485314988,0.8492114159859501,0.08458044148270055,0.03686849210629044,2121,4771,3852,6622.34
2018-04-06 12:00:00,2653.3508245899984,19703,12517,0.1111191028670208,0.8039228980348258,0.08495819516144976,-0.026007501738464542,2468,5272,4777,6618.33
2018-04-07 00:00:00,3731.8922460700014,14812,8807,0.10908255311068912,0.7977919192102461,0.09313830524951927,-0.00964945222268382,1540,3772,3495,6866.52
2018-04-07 12:00:00,3951.1494065299935,16712,10044,0.08676342742665676,0.8119762140296433,0.1012739510561203,0.04831568550317558,1754,4002,4288,6904.9
2018-04-08 00:00:00,1946.5384791799993,13453,7883,0.09550550377568533,0.8018909002742253,0.10255138754150576,0.026244633196170188,1266,3442,3175,7088.42
2018-04-08 12:00:00,2406.159462839999,21110,12870,0.07408493909599748,0.8033205160153404,0.12219482641909328,0.0932119248907137,2345,5181,5344,7027.26
2018-04-09 00:00:00,5357.5864342300065,16755,9982,0.07112046892503197,0.8342074095297057,0.09378840141610302,0.047439014912932655,1616,4600,3766,6751.47
2018-04-09 12:00:00,4746.329781919998,22644,14303,0.07649869451115504,0.8035649079891818,0.11984289837621312,0.05315569233668059,2521,6154,5628,6780.1
2018-04-10 00:00:00,2650.2022208899984,18328,11229,0.13843843199498052,0.7458160705765763,0.108832066383789,-0.057228033500265625,2100,4736,4393,6739.21
2018-04-10 12:00:00,3829.9905432899986,20828,12997,0.10907043547049436,0.7925162523002657,0.09620766305885374,0.014560405652214788,2361,5505,5131,6835.67
2018-04-11 00:00:00,2080.4145574800013,17275,10182,0.06296699252328647,0.8591126601840859,0.07754744558120694,0.039531158623040435,1665,4830,3687,6855.31
2018-04-11 12:00:00,3744.996088079998,22001,13565,0.0643587729603087,0.815881459312384,0.11975715086500616,0.059200399545429085,2200,5763,5602,6940.94
2018-04-12 00:00:00,9289.43983943,19314,11239,0.08056085678525522,0.7963744097340655,0.12303038550334458,0.05444491917918372,2041,4974,4224,7725.77
2018-04-12 12:00:00,9743.940494970013,26876,16709,0.05118833318032308,0.8683448749367512,0.08046148708311925,0.05854482955203773,2666,7694,6349,7923.78
2018-04-13 00:00:00,8002.686310589997,19091,11545,0.09982476021982728,0.7957832108732196,0.10438287629845568,0.003725970485787806,1876,5296,4373,8102.11
2018-04-13 12:00:00,11603.256440179995,22964,14333,0.07700718023385816,0.8205400766345589,0.10245190182348007,0.045636410687049135,2614,6290,5429,7896.92
2018-04-14 00:00:00,5292.55127984,15329,8791,0.07865065022077257,0.8540306334947572,0.0673191577473272,-0.004041259761455339,1526,3964,3301,7982.99
2018-04-14 12:00:00,3642.9794349300014,17300,10292,0.0714194031811596,0.8189504509714345,0.1096315028218382,0.07979377753155092,1565,4352,4375,8000.41
2018-04-15 00:00:00,4073.535419520003,14385,8094,0.045251279265336106,0.845753867508003,0.108994774263551,0.1111225035147346,1099,3699,3296,8331.67
2018-04-15 12:00:00,3469.305396120001,18471,11159,0.06438768892372604,0.8400387702462568,0.09558209306266394,0.0727488880134236,1462,4958,4739,8354.22
2018-04-16 00:00:00,7010.902690459992,16690,9963,0.05053236962836486,0.8012057435084922,0.14824217282661828,0.10615530867853364,1440,4666,3857,8097.05
2018-04-16 12:00:00,3855.700267029994,21552,13476,0.0412779438794602,0.8507512736458339,0.10797357280502652,0.13153365227992356,2148,5922,5406,8048.15
2018-04-17 00:00:00,3936.5648533000017,17217,10101,0.05197380075611701,0.8233934959722337,0.12463432829532305,0.1095798353951389,1477,4717,3907,8120.09
2018-04-17 12:00:00,5340.586362080001,20941,13060,0.08684324593851174,0.8276276315741338,0.08552807725962368,0.02017592378623321,2072,5489,5499,7890.87
2018-04-18 00:00:00,4302.19264729,19158,11222,0.10596852801780386,0.7398764117628853,0.15414116267612393,0.09646699098355313,1868,4941,4413,8103.57
2018-04-18 12:00:00,4925.011950790008,23067,14401,0.16829591137302571,0.7463243887707566,0.08538418722739599,-0.13090373640354375,3286,5535,5580,8172.84
2018-04-19 00:00:00,5210.398381129999,17941,10518,0.1623492397453715,0.7598709904758019,0.07777985342085521,-0.15745859144605426,1850,4513,4155,8196.05
2018-04-19 12:00:00,4226.447946500004,22533,13632,0.1196009482406514,0.768528637560977,0.11187629813460197,-0.05697715645012915,2472,5735,5425,8271.31
2018-04-20 00:00:00,8752.89871208,18281,10847,0.06202877996546055,0.8579100791099226,0.08003011109676815,0.03003216016586828,1628,5111,4108,8523.78
2018-04-20 12:00:00,7306.723959259997,20263,12809,0.05519995274209573,0.8264031838606627,0.11830253385432225,0.1151531347047941,2050,5246,5513,8861.0
2018-04-21 00:00:00,11094.220838700005,15346,8949,0.09243086448023972,0.7942380859939243,0.11334405881518388,0.045639323941624864,1295,3990,3664,8716.22
2018-04-21 12:00:00,4242.087088729997,17524,10474,0.058411750135905015,0.8223879090195424,0.11919974738095572,0.09809564792064064,1456,4635,4383,8920.71
2018-04-22 00:00:00,4273.741852429997,15103,8408,0.07916462238322064,0.7566783160020649,0.14893108353489296,0.153815913129073,1154,3741,3513,8928.8
2018-04-22 12:00:00,5072.709906819998,18573,11135,0.04720050083577402,0.8065915556632558,0.140874451547395,0.15958161617957256,1381,4851,4903,8789.96
2018-04-23 00:00:00,4950.531792559998,16971,9917,0.11859067395426436,0.8007200879426096,0.08068273138231025,-0.03739403873246625,1682,4484,3751,8928.96
2018-04-23 12:00:00,5335.585922339998,22862,14097,0.06501820477970087,0.8202084973532775,0.11480852435113005,0.07784396931702554,2285,6456,5356,8946.95
2018-04-24 00:00:00,8570.73816743,20825,12641,0.08673510431591534,0.810097880017692,0.10315718628724434,0.0129425523422424,2469,5576,4596,9295.66
2018-04-24 12:00:00,11889.770815610005,24554,15451,0.07566138609992877,0.7920014261344751,0.13236301889560298,0.08939639467581317,2962,6115,6374,9648.0
